time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
16.662,581.7040,2.1506,299.6290,0.2510,3.8000,-0.4500,359.0040,180.2658,1.7991
16.773,581.5965,2.0941,299.9191,0.2510,3.8000,-0.4500,358.6190,180.2589,0.3203
16.873,581.4865,2.0253,300.2106,0.2510,3.8000,-0.4500,358.1436,180.2624,358.8854
16.985,581.3528,1.9301,300.5617,0.2510,3.8000,-0.4500,357.5147,180.2836,357.3069
17.099,581.2408,1.8439,300.8547,0.2510,3.8000,-0.4500,356.9932,180.3134,356.1786
17.206,581.1069,1.7379,301.2063,0.2510,3.8000,-0.4500,356.4322,180.3562,355.1237
17.319,580.9962,1.6521,301.4991,0.2510,3.8000,-0.4500,356.0597,180.3901,354.5394
17.433,580.8647,1.5619,301.8494,0.2510,3.8000,-0.4500,355.9419,180.4015,354.3875
17.535,580.7554,1.4937,302.1411,0.2510,3.8000,-0.4500,355.9419,180.4015,354.3875
17.636,580.6472,1.4353,302.4334,0.2510,3.8000,-0.4500,355.9291,180.4028,354.5805
17.745,580.5214,1.3902,302.7844,0.2510,3.8000,-0.4500,356.0533,180.3922,355.4701
17.852,580.4194,1.3709,303.0761,0.2510,3.8000,-0.4500,356.3358,180.3723,356.4800
17.955,580.3210,1.3680,303.3670,0.2510,3.8000,-0.4500,356.7413,180.3517,357.6779
18.068,580.2086,1.3845,303.7149,0.2510,3.8000,-0.4500,357.3290,180.3362,359.2924
18.178,580.1205,1.4126,304.0036,0.2510,3.8000,-0.4500,357.8526,180.3362,0.7189
18.278,580.0378,1.4509,304.2910,0.2510,3.8000,-0.4500,358.3640,180.3490,2.1566
18.386,579.9453,1.5063,304.6343,0.2510,3.8000,-0.4500,358.9127,180.3775,3.8212
18.497,579.8734,1.5572,304.9191,0.2510,3.8000,-0.4500,359.2846,180.4065,5.1079
18.605,579.7927,1.6220,305.2595,0.2510,3.8000,-0.4500,359.6261,180.4411,6.4896
18.706,579.7294,1.6804,305.5413,0.2510,3.8000,-0.4500,359.9174,180.4770,7.4888
18.815,579.6698,1.7450,305.8198,0.2510,3.8000,-0.4500,0.3573,180.5385,8.3420
18.922,579.6025,1.8334,306.1473,0.2510,3.8000,-0.4500,1.1770,180.6654,9.1665
19.028,579.5494,1.9163,306.4134,0.2510,3.8000,-0.4500,2.0767,180.8151,9.6827
19.137,579.4979,2.0065,306.6729,0.2510,3.8000,-0.4500,3.0970,180.9929,10.0412
19.244,579.4372,2.1215,306.9754,0.2510,3.8000,-0.4500,4.3614,181.2203,10.2659
19.356,579.3861,2.2206,307.2210,0.2510,3.8000,-0.4500,5.3582,181.4019,10.2892
19.467,579.3230,2.3403,307.5094,0.2510,3.8000,-0.4500,6.3965,181.5902,10.1361
19.575,579.2679,2.4385,307.7459,0.2510,3.8000,-0.4500,7.0813,181.7121,9.8746
19.695,579.1976,2.5520,308.0276,0.2510,3.8000,-0.4500,7.6484,181.8096,9.4260
19.796,579.1354,2.6412,308.2623,0.2510,3.8000,-0.4500,7.8939,181.8499,8.9627
19.902,579.0554,2.7401,308.5462,0.2510,3.8000,-0.4500,7.9109,181.8528,8.3311
20.017,578.9847,2.8141,308.7861,0.2510,3.8000,-0.4500,7.6973,181.8224,7.7679
20.123,578.8953,2.8917,309.0798,0.2510,3.8000,-0.4500,7.1797,181.7547,7.0814
20.231,578.8173,2.9458,309.3302,0.2510,3.8000,-0.4500,6.5450,181.6786,6.5257
20.340,578.7367,2.9897,309.5865,0.2510,3.8000,-0.4500,5.7424,181.5901,6.0061
20.440,578.6369,3.0280,309.9022,0.2510,3.8000,-0.4500,4.5859,181.4739,5.4537
20.551,578.5516,3.0477,310.1719,0.2510,3.8000,-0.4500,3.4894,181.3728,5.0682
20.659,578.4650,3.0562,310.4475,0.2510,3.8000,-0.4500,2.3022,181.2708,4.7603
20.772,578.3599,3.0522,310.7852,0.2510,3.8000,-0.4500,0.8028,181.1496,4.4996
20.880,578.2541,3.0337,311.1295,0.2510,3.8000,-0.4500,359.2791,181.0318,4.3567
20.994,578.1658,3.0084,311.4207,0.2510,3.8000,-0.4500,358.0363,180.9376,4.3217
21.102,578.0598,2.9682,311.7739,0.2510,3.8000,-0.4500,356.6316,180.8309,4.3673
21.204,577.9716,2.9283,312.0707,0.2510,3.8000,-0.4500,355.5737,180.7492,4.4649
21.313,577.8839,2.8844,312.3691,0.2510,3.8000,-0.4500,354.6506,180.6758,4.6031
21.420,577.7793,2.8290,312.7285,0.2510,3.8000,-0.4500,353.7557,180.6018,4.8039
21.520,577.6927,2.7827,313.0285,0.2510,3.8000,-0.4500,353.2081,180.5547,4.9858
21.629,577.6063,2.7378,313.3274,0.2510,3.8000,-0.4500,353.0422,180.5400,5.0597
21.736,577.5201,2.6947,313.6263,0.2510,3.8000,-0.4500,353.0422,180.5400,5.0597
21.836,577.4344,2.6545,313.9258,0.2510,3.8000,-0.4500,353.0422,180.5400,5.0597
21.945,577.3327,2.6112,314.2853,0.2510,3.8000,-0.4500,353.0422,180.5400,5.0597
22.057,577.2513,2.5866,314.5843,0.2510,3.8000,-0.4500,353.2365,180.5579,5.3655
22.164,577.1543,2.5646,314.9414,0.2510,3.8000,-0.4500,353.6543,180.5988,5.6929
22.278,577.0729,2.5515,315.2372,0.2510,3.8000,-0.4500,354.1179,180.6459,5.8285
22.385,576.9754,2.5461,315.5888,0.2510,3.8000,-0.4500,354.9128,180.7278,5.8630
22.492,576.8943,2.5522,315.8780,0.2510,3.8000,-0.4500,355.8056,180.8194,5.8042
22.612,576.7968,2.5728,316.2195,0.2510,3.8000,-0.4500,357.1020,180.9497,5.6373
22.720,576.6986,2.6059,316.5542,0.2510,3.8000,-0.4500,358.5350,181.0880,5.3664
22.828,576.6157,2.6409,316.8278,0.2510,3.8000,-0.4500,359.7418,181.1983,5.0611
22.929,576.5311,2.6802,317.0972,0.2510,3.8000,-0.4500,0.8885,181.2962,4.6853
23.044,576.4269,2.7299,317.4155,0.2510,3.8000,-0.4500,2.1088,181.3908,4.1475
23.151,576.3373,2.7708,317.6779,0.2510,3.8000,-0.4500,2.9483,181.4482,3.6358
23.260,576.2452,2.8092,317.9390,0.2510,3.8000,-0.4500,3.5975,181.4865,3.0778
23.373,576.1311,2.8498,318.2517,0.2510,3.8000,-0.4500,4.1037,181.5110,2.3663
23.483,576.0135,2.8819,318.5656,0.2510,3.8000,-0.4500,4.3030,181.5183,1.6351
23.596,575.9131,2.9009,318.8293,0.2510,3.8000,-0.4500,4.2372,181.5169,1.0321
23.697,575.8110,2.9119,319.0956,0.2510,3.8000,-0.4500,3.9695,181.5136,0.4540
23.803,575.6863,2.9135,319.4193,0.2510,3.8000,-0.4500,3.4002,181.5126,359.8171
