time_sec,angle_x,angle_y,angle_z
25.145,93.6490,-10.5779,-103.4652
25.272,93.6490,-10.5779,-103.4652
25.391,93.6433,-10.5785,-103.4722
25.509,93.6430,-10.5757,-103.4783
25.631,93.6433,-10.5785,-103.4722
25.749,93.6520,-10.5847,-103.4739
25.876,93.6520,-10.5847,-103.4739
25.995,93.6606,-10.5838,-103.4825
26.122,93.6606,-10.5838,-103.4825
26.240,93.6606,-10.5838,-103.4825
26.359,93.6608,-10.5795,-103.4834
26.480,93.6605,-10.5766,-103.4894
26.599,93.6661,-10.5688,-103.4892
26.729,93.6577,-10.5654,-103.4814
26.847,93.6574,-10.5625,-103.4875
26.977,93.6490,-10.5592,-103.4797
27.095,93.6487,-10.5563,-103.4857
27.222,93.6486,-10.5606,-103.4849
27.341,93.6401,-10.5573,-103.4772
27.459,93.6401,-10.5573,-103.4772
27.580,93.6458,-10.5494,-103.4770
27.699,93.6542,-10.5528,-103.4847
27.834,93.6542,-10.5528,-103.4847
27.952,93.6544,-10.5485,-103.4856
28.074,93.6599,-10.5450,-103.4845
28.193,93.6599,-10.5450,-103.4845
28.320,93.6599,-10.5450,-103.4845
28.438,93.6599,-10.5450,-103.4845
28.557,93.6599,-10.5450,-103.4845
28.679,93.6599,-10.5450,-103.4845
28.797,93.6599,-10.5450,-103.4845
28.924,93.6599,-10.5450,-103.4845
29.043,93.6512,-10.5387,-103.4828
29.170,93.6455,-10.5466,-103.4830
29.288,93.6457,-10.5422,-103.4838
29.406,93.6457,-10.5422,-103.4838
29.528,93.6512,-10.5387,-103.4828
29.647,93.6631,-10.5547,-103.4873
29.774,93.6784,-10.5876,-103.4876
29.892,93.6901,-10.6079,-103.4913
30.019,93.7195,-10.6363,-103.4993
30.137,93.7229,-10.6532,-103.4952
30.256,93.7346,-10.6663,-103.5057
30.378,93.7520,-10.6787,-103.5092
30.488,93.7845,-10.7212,-103.5192
30.598,93.7761,-10.7178,-103.5114
30.726,93.7999,-10.7541,-103.5197
30.844,93.8261,-10.7728,-103.5250
30.972,93.8469,-10.7949,-103.5313
31.091,93.8439,-10.7881,-103.5225
31.218,93.8502,-10.8119,-103.5273
31.337,93.8643,-10.8074,-103.5349
31.455,93.8941,-10.8386,-103.5371
31.577,93.9301,-10.8908,-103.5501
31.695,93.9443,-10.8936,-103.5508
31.822,93.9806,-10.9486,-103.5579
31.941,93.9948,-10.9514,-103.5587
32.069,94.0069,-10.9673,-103.5634
32.187,94.0072,-10.9701,-103.5574
32.305,94.0368,-10.9986,-103.5657
32.430,94.0578,-11.0279,-103.5654
32.549,94.0997,-11.0795,-103.5717
32.670,94.1031,-11.0892,-103.5746
32.789,94.1064,-11.0989,-103.5774
32.916,94.1359,-11.1317,-103.5851
33.034,94.1359,-11.1317,-103.5851
33.155,94.1361,-11.1273,-103.5859
33.277,94.1566,-11.1510,-103.5976
33.395,94.1601,-11.1564,-103.6013
33.522,94.1720,-11.1695,-103.6121
33.641,94.1899,-11.1848,-103.6098
33.768,94.1987,-11.1910,-103.6117
33.886,94.2017,-11.1979,-103.6206
34.005,94.2017,-11.1979,-103.6206
34.126,94.1963,-11.2013,-103.6216
34.244,94.2208,-11.2404,-103.6244
34.371,94.2349,-11.2360,-103.6320
34.490,94.2437,-11.2422,-103.6339
34.617,94.2733,-11.2750,-103.6417
34.735,94.2682,-11.2813,-103.6367
34.854,94.2739,-11.2734,-103.6365
34.975,94.2735,-11.2706,-103.6425
35.094,94.2737,-11.2662,-103.6433
35.229,94.2826,-11.2724,-103.6452
35.348,94.2768,-11.2731,-103.6522
35.470,94.2910,-11.2758,-103.6530
35.589,94.2766,-11.2774,-103.6514
35.716,94.2768,-11.2731,-103.6522
35.835,94.2853,-11.2764,-103.6600
35.953,94.2853,-11.2764,-103.6600
36.075,94.2799,-11.2799,-103.6611
36.193,94.2802,-11.2828,-103.6551
36.328,94.2802,-11.2828,-103.6551
36.448,94.2802,-11.2828,-103.6551
36.569,94.2802,-11.2828,-103.6551
36.689,94.2611,-11.2402,-103.6512
36.816,94.2403,-11.2137,-103.6454
36.934,94.2039,-11.1542,-103.6387
37.052,94.2005,-11.1445,-103.6358
37.174,94.1729,-11.0914,-103.6310
37.292,94.1522,-11.0648,-103.6252
37.427,94.1037,-10.9895,-103.6140
37.547,94.1006,-10.9754,-103.6120
37.669,94.0915,-10.9663,-103.6161
37.787,94.0706,-10.9442,-103.6096
37.915,94.0621,-10.9336,-103.6086
38.033,94.0378,-10.8945,-103.6061
38.151,94.0432,-10.8910,-103.6051
38.273,94.0432,-10.8910,-103.6051
38.391,94.0293,-10.8911,-103.5983
38.526,94.0346,-10.8920,-103.5964
38.646,94.0348,-10.8876,-103.5973
38.768,94.0490,-10.8904,-103.5981
38.887,94.0547,-10.8897,-103.5910
39.014,94.0493,-10.8932,-103.5921
39.132,94.0405,-10.8870,-103.5902
39.251,94.0402,-10.8841,-103.5962
39.372,94.0316,-10.8851,-103.5876
39.491,94.0316,-10.8851,-103.5876
39.612,94.0314,-10.8779,-103.5944
39.721,94.0170,-10.8796,-103.5928
39.846,94.0172,-10.8752,-103.5936
39.969,94.0169,-10.8723,-103.5996
40.095,94.0059,-10.8837,-103.6009
40.218,94.0145,-10.8827,-103.6095
40.339,94.0476,-10.9280,-103.6138
40.466,94.0649,-10.9448,-103.6166
40.585,94.0923,-10.9908,-103.6280
40.712,94.1109,-11.0305,-103.6376
40.830,94.1165,-11.0227,-103.6374
40.949,94.1344,-11.0380,-103.6351
41.070,94.1497,-11.0680,-103.6419
41.189,94.1673,-11.0804,-103.6456
41.316,94.1706,-11.0901,-103.6485
41.434,94.1885,-11.1054,-103.6462
41.561,94.2058,-11.1150,-103.6559
41.680,94.2059,-11.1222,-103.6491
41.798,94.2203,-11.1206,-103.6508
41.920,94.2202,-11.1134,-103.6576
42.038,94.2114,-11.1072,-103.6557
42.165,94.2029,-11.1038,-103.6479
42.284,94.2026,-11.1009,-103.6539
42.411,94.2026,-11.1009,-103.6539
42.529,94.2026,-11.1009,-103.6539
42.647,94.1969,-11.1016,-103.6609
42.769,94.1972,-11.1044,-103.6549
42.887,94.1972,-11.1044,-103.6549
43.014,94.2057,-11.1078,-103.6627
43.133,94.2057,-11.1078,-103.6627
43.260,94.1540,-11.1021,-103.6951
43.378,94.0373,-9.9636,-103.5866
43.497,93.8742,-9.2346,-103.3902
43.618,93.7569,-9.2463,-103.2983
43.737,93.6556,-9.2158,-103.3353
43.864,93.6271,-9.2148,-103.3334
43.982,93.5786,-9.2303,-103.3233
44.109,93.5096,-9.2494,-103.3243
44.227,93.4638,-9.2575,-103.3367
44.346,93.4096,-9.3556,-103.3662
44.468,93.3785,-9.4438,-103.3742
44.586,93.3416,-9.4623,-103.3490
44.713,93.3357,-9.4457,-103.3379
44.832,93.3272,-9.4466,-103.3294
44.959,93.3272,-9.4395,-103.3363
45.077,93.3215,-9.4544,-103.3295
45.195,93.3215,-9.4371,-103.3113
45.317,93.3671,-9.3860,-103.3021
45.436,93.3837,-9.3138,-103.3172
45.563,93.4122,-9.2848,-103.3416
45.681,93.4266,-9.3076,-103.3543
45.808,93.4381,-9.2920,-103.3540
45.927,93.4465,-9.2666,-103.3511
46.045,93.4608,-9.2650,-103.3525
46.167,93.4577,-9.2553,-103.3499
46.285,93.4665,-9.2931,-103.3559
46.412,93.4497,-9.3080,-103.3580
46.531,93.4754,-9.3266,-103.3627
46.658,93.5097,-9.3084,-103.3722
46.776,93.5153,-9.3049,-103.3712
46.894,93.5183,-9.3146,-103.3737
47.016,93.5386,-9.3368,-103.3794
47.135,93.5445,-9.3606,-103.3837
