time_sec,world_x,world_y,world_z,local_x,local_y,local_z,rot_x,rot_y,rot_z
8.362,591.5016,2.2883,271.5924,0.2510,3.8000,-0.4500,356.2042,174.6499,343.2092
8.466,591.3714,2.2151,271.8798,0.2510,3.8001,-0.4500,358.4017,173.9713,342.5310
8.581,591.2048,2.1613,272.2169,0.2510,3.8000,-0.4500,1.3639,173.0169,341.7787
8.690,591.0577,2.1434,272.4897,0.2510,3.8000,-0.4500,3.9626,172.1458,341.2048
8.801,590.8731,2.1498,272.8062,0.2510,3.8000,-0.4500,7.0315,171.0777,340.5978
8.905,590.7148,2.1735,273.0609,0.2510,3.8001,-0.4500,9.3800,170.2321,340.1825
9.012,590.5541,2.2083,273.3095,0.2510,3.8000,-0.4500,11.3945,169.4875,339.8710
9.123,590.3604,2.2576,273.6040,0.2510,3.8001,-0.4500,13.2037,168.8046,339.6561
9.237,590.2001,2.3000,273.8501,0.2510,3.8000,-0.4500,14.1134,168.4569,339.6064
9.346,590.0099,2.3456,274.1520,0.2510,3.7999,-0.4500,14.4032,168.3458,339.6220
9.457,589.8532,2.3779,274.4081,0.2510,3.7999,-0.4500,14.4032,168.3458,339.6220
9.570,589.6689,2.4063,274.7245,0.2510,3.8000,-0.4500,13.9500,168.5189,339.7264
9.682,589.4893,2.4144,275.0559,0.2510,3.7999,-0.4500,12.8652,168.9297,339.8040
9.782,589.3444,2.4002,275.3444,0.2510,3.7999,-0.4500,11.6194,169.3990,339.7608
9.895,589.2047,2.3624,275.6448,0.2510,3.7999,-0.4500,10.0651,169.9846,339.6091
10.008,589.0457,2.2815,276.0203,0.2510,3.8000,-0.4500,7.8248,170.8347,339.2827
10.121,588.8977,2.1586,276.4088,0.2510,3.7999,-0.4500,5.2700,171.8191,338.8145
10.229,588.7839,2.0255,276.7381,0.2510,3.7999,-0.4500,3.0166,172.7052,338.3484
10.340,588.6783,1.8681,277.0680,0.2510,3.7999,-0.4500,0.7757,173.6064,337.8603
10.450,588.5609,1.6557,277.4594,0.2510,3.7999,-0.4500,358.2775,174.6366,337.3318
10.558,588.4680,1.4680,277.7789,0.2510,3.8000,-0.4500,356.4875,175.3910,337.0210
10.666,588.3586,1.2418,278.1527,0.2510,3.8001,-0.4500,354.8255,176.1006,336.9095
10.770,588.2656,1.0620,278.4567,0.2510,3.8000,-0.4500,353.9229,176.4860,337.1091
10.876,588.1679,0.8988,278.7552,0.2510,3.8001,-0.4500,353.5096,176.6600,337.6309
10.982,588.0414,0.7356,279.1087,0.2510,3.7999,-0.4500,353.7085,176.5812,338.7368
11.085,587.9265,0.6364,279.4008,0.2510,3.8000,-0.4500,354.4843,176.2889,340.0858
11.190,587.8032,0.5793,279.6909,0.2510,3.8000,-0.4500,355.8296,175.8235,341.8288
11.296,587.6732,0.5709,279.9775,0.2510,3.8001,-0.4500,357.7339,175.2369,343.9453
11.402,587.5141,0.6308,280.3124,0.2510,3.8000,-0.4500,0.6798,174.4717,346.9037
11.506,587.3858,0.7375,280.5789,0.2510,3.8000,-0.4500,3.5492,173.8753,349.6153
11.616,587.2683,0.8884,280.8302,0.2510,3.8000,-0.4500,6.6074,173.3902,352.4272
11.727,587.1481,1.1112,281.1093,0.2510,3.8000,-0.4500,10.2337,173.0107,355.7576
11.834,587.0676,1.3169,281.3243,0.2510,3.8000,-0.4500,12.9946,172.8656,358.3651
11.940,587.0043,1.5295,281.5262,0.2510,3.8000,-0.4500,15.3705,172.8458,0.7319
12.048,586.9477,1.7842,281.7563,0.2510,3.8000,-0.4500,17.6165,172.9251,3.1894
12.154,586.9132,1.9919,281.9420,0.2510,3.8000,-0.4500,18.9714,173.0255,4.8998
12.258,586.8873,2.1938,282.1252,0.2510,3.8000,-0.4500,19.8880,173.1204,6.3094
12.364,586.8639,2.4283,282.3451,0.2510,3.8000,-0.4500,20.4873,173.1979,7.6292
12.470,586.8483,2.6177,282.5302,0.2510,3.7999,-0.4500,20.6532,173.2226,8.4458
12.576,586.8346,2.8025,282.7180,0.2510,3.8001,-0.4500,20.6067,173.2148,9.0285
12.686,586.8173,3.0174,282.9463,0.2510,3.8000,-0.4500,20.5190,173.1997,9.2740
