time_sec,angle_x,angle_y,angle_z
36.333,93.7717,-14.1578,-99.9753
36.452,93.7311,-14.1757,-99.9715
36.573,93.6994,-14.2000,-99.9701
36.691,93.6732,-14.2210,-99.9678
36.818,93.6241,-14.2352,-99.9560
36.937,93.6187,-14.2458,-99.9502
37.064,93.5928,-14.2697,-99.9420
37.183,93.5608,-14.2912,-99.9465
37.301,93.5467,-14.2909,-99.9391
37.423,93.5410,-14.2986,-99.9393
37.541,93.5411,-14.3059,-99.9328
37.668,93.5411,-14.3059,-99.9328
37.787,93.5356,-14.3092,-99.9335
37.914,93.5442,-14.3202,-99.9352
38.032,93.5530,-14.3194,-99.9439
38.150,93.5533,-14.3223,-99.9380
38.272,93.5533,-14.3223,-99.9380
38.390,93.5618,-14.3260,-99.9461
38.525,93.5621,-14.3289,-99.9402
38.645,93.5621,-14.3289,-99.9402
38.767,93.5621,-14.3289,-99.9402
38.886,93.5707,-14.3325,-99.9483
39.013,93.5707,-14.3325,-99.9483
39.132,93.5564,-14.3366,-99.9404
39.250,93.5742,-14.3453,-99.9454
39.371,93.6240,-14.3630,-99.9628
39.490,93.6747,-14.3893,-99.9626
39.625,93.7627,-14.4185,-99.9800
39.744,93.7983,-14.4402,-99.9896
39.866,93.8637,-14.4581,-99.9981
39.985,93.9408,-14.4939,-100.0173
40.112,94.0203,-14.5121,-100.0334
40.231,94.0942,-14.5380,-100.0497
40.349,94.1357,-14.5520,-100.0594
40.471,94.1922,-14.5678,-100.0653
40.589,94.2046,-14.5915,-100.0643
40.716,94.2520,-14.6051,-100.0674
40.835,94.2845,-14.6170,-100.0742
40.962,94.3206,-14.6343,-100.0848
41.080,94.3203,-14.6314,-100.0906
41.198,94.3059,-14.6282,-100.0891
41.320,94.2971,-14.6290,-100.0803
41.438,94.2883,-14.6297,-100.0715
41.573,94.2879,-14.6268,-100.0773
41.692,94.2846,-14.6243,-100.0678
41.814,94.2848,-14.6199,-100.0683
41.933,94.2845,-14.6170,-100.0742
42.060,94.2791,-14.6276,-100.0685
42.178,94.2846,-14.6243,-100.0678
42.296,94.2848,-14.6199,-100.0683
42.418,94.2848,-14.6199,-100.0683
42.537,94.2645,-14.6288,-100.0664
42.664,94.0890,-14.6621,-100.0272
42.782,94.0215,-14.6721,-100.0093
42.909,93.8757,-14.6985,-99.9751
43.027,93.7700,-14.7014,-99.9567
43.146,93.7060,-14.7211,-99.9420
43.268,93.6066,-14.7147,-99.9182
43.386,93.4496,-14.7536,-99.8907
43.513,93.3653,-14.7794,-99.8801
43.632,93.3016,-14.7992,-99.8655
43.759,93.2059,-14.8098,-99.8384
43.877,93.1011,-14.8227,-99.8080
43.996,93.0607,-14.8405,-99.8043
44.117,92.9971,-14.8602,-99.7897
44.236,92.9312,-14.8975,-99.7784
44.362,92.8968,-14.9177,-99.7620
44.481,92.8564,-14.9399,-99.7577
44.608,92.8420,-14.9367,-99.7562
44.726,92.8419,-14.9411,-99.7557
44.845,92.8333,-14.9374,-99.7475
44.966,92.8276,-14.9451,-99.7477
45.085,92.8278,-14.9480,-99.7417
45.212,92.8367,-14.9546,-99.7439
45.331,92.8365,-14.9590,-99.7434
45.457,92.8365,-14.9590,-99.7434
45.576,92.8453,-14.9655,-99.7456
45.694,92.8600,-14.9600,-99.7482
45.816,92.8801,-14.9510,-99.7500
45.934,92.9760,-14.9506,-99.7646
46.061,92.9970,-14.9736,-99.7720
46.180,93.0671,-14.9898,-99.7849
46.307,93.1082,-14.9966,-99.8008
46.425,93.1528,-15.0207,-99.8132
46.544,93.2031,-15.0369,-99.8255
46.665,93.2440,-15.0526,-99.8404
46.784,93.3538,-15.0989,-99.8610
46.911,93.3895,-15.1208,-99.8707
47.030,93.4713,-15.1097,-99.8907
47.156,94.6643,-15.5742,-100.9634
47.396,93.6170,-15.1633,-99.9346
47.517,93.7253,-15.1617,-99.9741
47.635,93.8164,-15.1644,-99.9902
47.762,93.8791,-15.2059,-100.0074
47.880,93.9299,-15.2221,-100.0202
48.007,94.0033,-15.2190,-100.0253
48.126,94.0507,-15.2253,-100.0351
48.244,94.0800,-15.2230,-100.0395
48.366,94.1163,-15.2476,-100.0438
48.484,94.1210,-15.2967,-100.0466
48.611,94.1442,-15.3692,-100.0420
48.730,94.1478,-15.4797,-100.0473
48.857,94.1398,-15.8069,-100.0637
48.975,94.1251,-16.0093,-100.0723
49.093,94.1540,-15.5563,-100.0569
49.215,94.1587,-15.6099,-100.0593
49.333,94.1534,-15.6205,-100.0536
49.468,94.1486,-15.5787,-100.0443
49.588,94.1319,-15.6049,-100.0391
49.709,94.1060,-15.6216,-100.0372
49.836,94.0308,-15.6598,-100.0166
49.958,94.0105,-15.6688,-100.0145
50.077,93.9559,-15.6427,-99.9981
50.204,93.8993,-15.6925,-99.9771
50.323,93.8503,-15.6624,-100.0785
50.441,93.8330,-15.5489,-100.0283
50.563,93.7184,-15.5554,-99.9943
50.681,93.6292,-15.4389,-99.9723
50.808,93.5109,-15.3291,-99.9458
50.927,93.4260,-15.3215,-99.9237
51.054,93.2936,-15.3935,-99.9064
51.172,93.2133,-15.4466,-99.8798
51.290,93.1350,-15.4676,-99.8628
51.412,93.0880,-15.4612,-99.8533
51.530,93.0098,-15.4894,-99.8299
51.658,92.9286,-15.4989,-99.8046
51.776,92.8269,-15.5115,-99.7893
51.903,92.7608,-15.5461,-99.7837
52.021,92.7318,-15.5485,-99.7795
52.140,92.6561,-15.5517,-99.7595
52.261,92.5837,-15.5648,-99.7425
52.380,92.5028,-15.5814,-99.7108
52.507,92.4716,-15.6087,-99.7033
52.626,92.4572,-15.6099,-99.7013
52.753,92.4081,-15.6212,-99.6952
52.871,92.4081,-15.6212,-99.6952
52.990,92.3504,-15.6331,-99.6804
53.111,92.3448,-15.6409,-99.6806
53.230,92.3369,-15.6663,-99.6839
53.357,92.3369,-15.6663,-99.6839
53.475,92.3369,-15.6663,-99.6839
53.602,92.3369,-15.6663,-99.6839
53.720,92.3369,-15.6663,-99.6839
53.839,92.3458,-15.6729,-99.6862
53.961,92.3456,-15.6701,-99.6921
54.079,92.3400,-15.6662,-99.6994
54.206,92.3457,-15.6657,-99.6927
54.325,92.3458,-15.6729,-99.6862
54.451,92.3402,-15.6807,-99.6864
54.570,92.3456,-15.6773,-99.6856
54.688,92.3456,-15.6773,-99.6856
54.810,92.3403,-15.6835,-99.6804
54.928,92.3403,-15.6835,-99.6804
55.055,92.3490,-15.6872,-99.6886
55.174,92.3490,-15.6872,-99.6886
55.301,92.3548,-15.6823,-99.6825
55.419,92.3493,-15.6856,-99.6832
55.538,92.3493,-15.6856,-99.6832
55.659,92.3493,-15.6856,-99.6832
55.778,92.3490,-15.6872,-99.6886
55.905,92.3059,-15.7008,-99.6699
56.032,92.2535,-15.7022,-99.6609
56.154,92.2157,-15.7023,-99.6539
56.273,92.1061,-15.7096,-99.6253
56.400,91.9993,-15.7343,-99.6101
56.518,91.8953,-15.7382,-99.5809
56.637,91.8576,-15.7384,-99.5740
56.758,91.8080,-15.7204,-99.5567
56.877,91.6696,-15.7431,-99.5226
57.004,91.6065,-15.7627,-99.5082
57.123,91.5634,-15.7662,-99.5022
57.250,91.4651,-15.7638,-99.4786
57.368,91.4364,-15.7661,-99.4746
57.487,91.4110,-15.7856,-99.4669
57.608,91.3768,-15.8029,-99.4565
57.727,91.3458,-15.8229,-99.4556
57.854,91.3172,-15.8281,-99.4456
57.972,91.3259,-15.8319,-99.4538
58.099,91.3260,-15.8346,-99.4478
58.218,91.3346,-15.8384,-99.4559
58.336,91.3346,-15.8384,-99.4559
58.458,91.3346,-15.8384,-99.4559
58.568,91.3259,-15.8275,-99.4543
58.678,91.3259,-15.8275,-99.4543
58.806,91.3402,-15.8307,-99.4558
58.925,91.3403,-15.8335,-99.4497
59.054,91.3435,-15.8407,-99.4586
59.173,91.3435,-15.8478,-99.4521
59.300,91.4284,-15.8907,-99.4724
59.418,91.4892,-15.8960,-99.4834
59.537,91.6052,-15.9187,-99.5049
59.658,91.7013,-15.9360,-99.5379
59.776,91.8409,-15.9598,-99.5646
59.903,91.9408,-15.9970,-99.5883
60.022,92.0085,-16.0266,-99.6050
60.149,92.1030,-16.0831,-99.6221
60.268,92.2321,-16.1151,-99.6565
60.386,92.3168,-16.1258,-99.6724
60.507,92.4395,-16.1363,-99.6956
60.626,92.5510,-16.1522,-99.7318
60.753,92.6773,-16.1770,-99.7578
60.872,92.7748,-16.2041,-99.7797
60.999,92.9160,-16.2277,-99.8083
61.117,93.0193,-16.2398,-99.8368
61.235,93.0935,-16.2542,-99.8609
61.357,93.1640,-16.2631,-99.8813
61.475,93.2618,-16.2873,-99.9097
61.610,93.3985,-16.3170,-99.9340
61.730,93.4764,-16.3456,-99.9612
61.852,93.5422,-16.3680,-99.9704
61.979,93.6291,-16.4077,-99.9997
62.100,93.7155,-16.4166,-100.0118
62.219,93.7901,-16.4353,-100.0361
62.346,93.8356,-16.4638,-100.0493
62.464,93.8596,-16.4720,-100.0484
62.583,93.9197,-16.4920,-100.0704
62.705,93.9290,-16.5014,-100.0672
62.823,93.9657,-16.5188,-100.0786
62.950,94.0169,-16.5394,-100.0918
63.069,94.0204,-16.5538,-100.0946
